It's just part of the animated sign.	那只是動畫招牌的一部分而已。
That is the Droids-B-Us warehouse and pickup area.	那是「機器人反斗城」的倉庫兼取貨區。
This is the Droids-B-Us storefront.  They sell droids for all purposes.	這是「機器人反斗城」的店面，什麼用途的機器人他們都賣。
Droids-B-Us sign	機器人反斗城招牌
The big sign over the door says "Droids-B-Us".	門上的大招牌寫著「機器人反斗城」。
small posted sign	張貼的小告示
The sign says "ALL SALES FINAL!" in 1,438 languages.	告示牌用 1,438 種語言寫著「概不退換！」
You can see only bits and pieces of droids through the small window.  But it looks safe enough in there.	你只能透過小窗戶看到一些機器人的零碎片段，不過裡面看起來還算安全。
Please observe our robot preview screen. If you have any questions, don't hesitate to ask.	請參閱我們的機器人展示螢幕，若有任何疑問，歡迎隨時詢問。
Oh, we're back, are we? Well, perhaps we can manage to take home a droid this time, eh?	喔，又是你啊？這次說不定能順利帶一台機器人回家囉？
However, I can see that we would be more... ah... interested in our line of economy-priced, used robots, wouldn't we?	不過我看啊……嗯……你應該比較想看我們那些便宜又划算的二手機器人系列吧？
We have a wide variety of work-saving, life- enhancing, shiny-new, factory-fresh, technological wonders of modern engineering wizardry!	我們這裡應有盡有：省時省力、提升生活品質、閃亮全新、剛出廠的最新科技結晶，通通都是現代工程的奇蹟！
Greetings, sir! Allow me to show you our fine line of robots, otherwise known as "droids".	您好，先生！讓我為您介紹我們家優質的機器人系列。
Thank you, sir.	謝謝您，先生。
You may pick up your purchase at our convenient Droids-B-Us pickup area, located just out the door and to your right.	您可以到機器人反斗城的取貨區領取您買的東西，就在門外右手邊，非常方便。
You could fill out one of our credit applications, although I seriously doubt that you would qualify.	您可以填一份分期付款申請表，不過我很懷疑您符不符合資格。
I believe that the FloorMart store on Petulence is having a sale on pencil sharpeners that you might just be able to afford!	我看「佩圖倫斯星」上的地板量販店正在特賣削鉛筆機，那個價格您應該還買得起！
Why can't I ever get a customer with more money than brains? Well... in your case, you might just qualify at that.	為什麼我從來遇不到那種錢比腦袋還多的客人？嗯……不過您的情況，搞不好還真的符合資格。
Look, why don't you go break your piggy bank open and come back with a little more cash? Now, if you'll excuse me, you really must be going.	這樣吧，您回去把撲滿打破，多帶點現金再來吧？好啦，容我送客，您真的該走了。
Pardon me for saying so, sir, but we don't appear to have enough money for our purchase, now, do we?	恕我直言，先生，我們的錢好像不太夠買東西吧，是不是啊？
The salesbug appears to be a Chdnarian, a race renowned for their predatory sales techniques. You decide to count your fingers once you've completed your transaction.	這隻銷售蟲似乎是奇德納人，這個種族以掠奪式推銷手法聞名。你決定等交易完成後，先數一數自己的手指頭再說。
If you were to insist, I could let you have it for a mere 512 buckazoids (407 with a coupon).	如果您堅持的話，我可以只跟您收 512 枚太空幣就割愛（有折價券的話 407 枚）。
However, I have only one left, and I put it to work in the warehouse.	不過我只剩最後一台了，而且已經派去倉庫工作了。
This is an all-purpose household model. It cooks, sews, does windows and brews a little moonshine on the side.	這是一款多功能家用機型，會煮飯、會縫紉、會擦窗戶，閒暇之餘還會私釀一點小酒。
Don't bother haggling. This one's worth 55 buckazoids for the parts alone. That would be 46 buckazoids with a coupon.	別跟我殺價了，光是零件就值 55 枚太空幣，有折價券的話是 46 枚。
That race killed themselves off, however, and spare parts are nearly impossible to find.	不過那個種族已經自相殘殺滅絕了，備用零件幾乎找不到。
It was produced exclusively for Droids-B-Us by a small planet who used these mechanical warriors to fight their battles.	這台是某個小星球專為機器人反斗城製造的，他們原本是拿這些機械戰士去打仗用的。
Ah! This model is one of my personal favorites.	啊！這個機型是我個人的心頭好。
And, if you've got kids, you'll appreciate its low, low price of 698 buckazoids (559 with a coupon).	如果您有小孩，一定會喜歡它超低的價格：698 枚太空幣（有折價券只要 559 枚）。
If you can live with the paranoia, though, it makes a great baby-sitter.	只要您受得了牠疑神疑鬼的個性，牠其實是個很棒的保母。
Whenever it gets excited, it waves its arms around wildly and yells "DANGER! DANGER!"	牠只要一激動，就會瘋狂揮舞手臂，大喊「危險！危險！」
However, the manufacturer had to discontinue it due to a psychological disorder.	不過廠商後來因為牠有心理疾病，被迫把牠停產了。
This model was originally designed as a family companion on those long space vacations.	這款機型原本是設計來當漫長太空假期的家庭夥伴。
I'd love to sell you one, but every last one I had was snapped up by a movie director from New Japan IV - sorry.	我是很想賣您一台啦，可惜全被一個來自新日本四號的電影導演搶購一空了——抱歉。
Although a handsome machine, this robot has a habit of killing people without any real reason.	雖然外型很帥氣，不過這台機器人有個毛病，就是會毫無理由殺人。
Ah, yes, a truly beautiful piece of machinery. This design rates five stars.	啊，沒錯，這真是一件漂亮的機械藝術品，這款設計可以打五顆星。
Yes, this dandy, compact unit goes for a mere 29 buckazoids (23 with coupon). You can't go wrong when it's SUX!	沒錯，這台小巧精緻的機型只要 29 枚太空幣（有折價券 23 枚），選 SUX 準沒錯！
...but of course you wouldn't want to hear about that.	……不過您大概不會想聽這個啦。
I just happen to have one of these in stock. It's been completely re-conditioned since its regrettable accident that took the lives of...	我手邊剛好有一台現貨，它經過完整整修，畢竟之前發生過一場不幸的意外，奪走了……
The brand name says it all. SUX is a major manufacturer of refrigerators, dishwashers, and, some day, even time machines!	光看品牌名稱就知道了。SUX 是冰箱、洗碗機的大廠，說不定哪天連時光機都做得出來！
We've got a set of three, and you can have them all for just 999 buckazoids (799 with a coupon).	我們有一套三台，全部只要 999 枚太空幣就通通帶走（有折價券 799 枚）。
Yessir, they may look like kleenex boxes, but they're built to run a loooong time. And quiet? You bet!	沒錯，先生，它們外型看起來像面紙盒，但可是造來耐操耐用的，而且超~安靜，你放心！
These little robots are perfect for gardening chores. And they don't mind at all if they're away on space missions for centuries.	這些小機器人很適合拿來做園藝雜務，就算要去執行長達幾世紀的太空任務，牠們也完全不介意。
However, we're fresh out of them right now. Nobody seems to survive long enough to trade them in.	不過我們現在正好缺貨，好像沒有人能活得夠久拿它們回來換新的。
They're just a wee bit too ambitious is all. And who of us isn't? It's quite an endearing quality, actually.	牠們只是野心稍微大了一點而已，話說回來，誰不是呢？其實這還挺討人喜歡的。
Um... This model has had a bad rep, unearned if you ask me.	呃……這款機型名聲不太好，不過要我說，那名聲根本不該有。
I could let you have him for just 875 buckazoids (700 with a coupon).	我可以只跟您收 875 枚太空幣就讓給您（有折價券 700 枚）。
Of course, they're all in hibernation this time of the century.	當然啦，這個世紀的這個時候，牠們都在冬眠。
These are really some of the most useful all-purpose robots around, and extremely good with children.	這些真的是市面上數一數二好用的多功能機器人，跟小孩相處起來也非常合得來。
His memory isn't the best, so I'll let you have him for just 512 buckazoids (410 with a coupon).	牠的記憶力不太好，所以我只跟您收 512 枚太空幣（有折價券 410 枚）。
If it had one fault, it was probably a tendency to be over- zealous. It's no longer available except for demolition purposes.	要說牠有什麼缺點，大概就是做事太過熱心了。現在只剩拆除用途還買得到。
This was one of my better bodyguard models, and it also doubled as a radial-arm saw.	這是我這邊比較優秀的保鑣機型之一，還兼具圓鋸機的功能。
Uh, well, maybe you shouldn't consider buying this particular model.	呃，這個嘛，這款機型您可能還是別考慮比較好。
These robots have a bad attitude. You've got to keep them in line, or they'll walk all over you.	這些機器人態度很差，你得好好管教牠們，不然牠們會把你吃得死死的。
I got it from some gambling type who was required to pay-up or perish.	我是從一個賭徒手上弄來的，他當時不還錢就得死。
I ask only 45 buckazoids for it (36 with coupon).	我只跟您收 45 枚太空幣（有折價券 36 枚）。
It will pilot any modern fighter or cruiser. And, it is one of the most experienced droids we carry.	牠能駕駛任何現代戰鬥機或巡洋艦，也是我們店裡經驗最豐富的機器人之一。
That model is ideal for flight systems operations.	那款機型很適合用來操作飛行系統。
I'm afraid I can't take data cartridges in lieu of currency. Is sir a bit short of cash, hmmmm?	恐怕資料匣不能拿來當錢用。先生是不是手頭有點緊啊，嗯？
I'm afraid I can't accept your translator in exchange for a droid. Buckazoids work nicely to grease the wheels of commerce, however.	恐怕您的翻譯機沒辦法拿來換機器人。不過太空幣才是做生意的潤滑劑。
Please, sir! Violence is never the answer. Money, on the other hand, is almost always the answer.	拜託，先生！暴力永遠不是解決辦法，倒是錢，幾乎都能解決問題。
If he drinks from this, you won't. You decide not to offer him any.	要是牠喝了這個，你就沒得喝了。你決定還是別請牠喝。
Very good, sir. This coupon entitles you to a reduction of twenty percent in the price of any of our fine, previously- owned droids.	非常好，先生。這張折價券可以讓您買我們優質二手機器人打八折。
Sorry, sir, but I've sold my last one of those.	抱歉，先生，那個賣完了，最後一台剛好也讓人買走了。
Sorry, sir, but we have none of those in stock.	抱歉，先生，那個我們沒有現貨。
I'm sorry, sir, but my conscience just won't let me sell him to you. Besides, your next of kin might sue.	抱歉，先生，我的良心不允許我把牠賣給您。再說，您的家屬搞不好還會告我。
I'm afraid that item can not be exchanged for enough money to purchase one of our quality products. Is sir financially embarassed, or might there be cash in one of those pockets?	恐怕那樣東西換不到足夠的錢，買不起我們的優質商品。先生是缺錢呢，還是口袋裡其實藏著現金？
The plaque says: "Salesbug of the year"! You'd better watch your money around this guy.	牌匾上寫著：「年度最佳銷售蟲」！在這傢伙身邊，你最好把錢包看緊一點。
robot head	機器人頭部
Yikes! It's an Ultron-17, the only robot bad enough to go head-to-head with an Arnoid-1000 Exterminator. You note with relief that he appears to be out of commission, at least temporarily.	哇賽！這是「奧創-17」型，唯一夠格跟「阿諾-1000滅絕者」正面對決的機器人。你鬆了一口氣，看樣子牠至少暫時是報廢了。
robot apendage	機器人肢體
That's an upgrade option for the Arnoid series. It's capable of crushing a person's skull. Very useful if you're in that line of work.	那是「阿諾」系列的升級配件，可以把人的頭骨捏碎。要是你正好從事那一行，會很好用。
Click on this to leave Droids-B-Us.	點這裡可以離開機器人反斗城。
The plastoid letters on the wall spell out: "Droids-B-Us"	牆上的塑膠字母拼出了「機器人反斗城」幾個字。
view screen	顯示螢幕
The viewscreen shows pictures of droids currently available in your rather limited price range.	螢幕上顯示著目前你那有限預算內買得起的機器人照片。
It looks like some sort of gigantic... diaphragm?	看起來像是某種巨大的……橫膈膜？
power tubes	電力導管
These tubes on the wall are power conduits.	牆上的這些管子是電力導管。
work table	工作檯
There are many robotic parts scattered about the work table.	工作檯上散落著許多機器人零件。
robot parts	機器人零件
Many parts, bits, and pieces of robotic paraphanalia adorn the walls of this small store.	這間小店的牆上掛滿了各式各樣的機器人零件與雜七雜八的裝備。
It appears to be a standard airlock. there is a handle in the center.	看起來是個標準的氣密艙，中間有一根把手。
airlock door	氣密艙門
airlock handle	氣密艙把手
You have fallen into an airlock aboard the Sarien ship Deltaur.	你摔進了沙利安人戰艦「代爾它號」上的一個氣密艙。
Keycard slot	磁卡插槽
vent shaft	通風管道
A large vent shaft protrudes from the left wall of the storage room.	一根粗大的通風管道從儲藏室的左牆凸出。
That is the way back to the airlock, which is completely sealed and inaccessable to you.	那是通往氣密艙的路，不過已經完全封死，你進不去。
storage vault	儲藏庫
Two enormous storage vaults take up one whole wall of the room.	兩座巨大的儲藏庫占滿了房間的整面牆。
storage room	儲藏室
vent grill	通風柵欄
No ship would be complete without official ship rats.	少了幾隻正牌的船鼠，這艘船就不完整了。
The ladder seems to provide access to vent shafts above and below this one.	這座梯子看起來可以通往上下方的通風管道。
This is the protruding terminus of the vent shaft by which you entered.	這是你進來的那條通風管道的凸出端口。
Behind the glass door of the machine, you can see a helmet that has been carelessly left inside after the dry cycle.	透過機器的玻璃門，你看到裡面隨手留著一頂頭盔，烘乾程序都跑完了也沒人拿走。
washing machine	洗衣機
A gas grenade.	一顆瓦斯手榴彈。
A robot serves behins the counter. Its appearance is that of a plain and unintelligent droid. But then, looks can be deceiving as in your case.	櫃檯後面站著一台機器人，外表看起來普通又沒什麼智商。不過外表有時會騙人的，就像你一樣。
store room	儲藏間
counter top	櫃檯檯面
counter top openning	櫃檯檯面的開口
This is an opening in the counter used to gain access behind the counter.	這是櫃檯上的一個開口，可以用來進到櫃檯後方。
A neat gizmo	一個很酷的小玩意
A panel of flashing lights.	一片閃爍燈光的面板。
gold machine	金色機器
blue speaker	藍色喇叭
