In the distance is the galaxy-famous Skihairy mountain range. Nestled in its southernmost slopes is the renowned YoMammy National Park, usually hip-deep in tourists this time of year. Oh, well - maybe next trip.	遠方是銀河知名的滑毛山脈，最南端山腳下就是赫赫有名的尤瑪咪國家公園——這個時節通常擠滿觀光客。唉，算了，下次再來吧。
What a sky this planet has! You've never seen its like outside a toxic waste dump.	這星球的天空也太扯了吧！除了有毒廢棄物掩埋場，你還沒見過這種顏色的天空。
big moon	大月亮
Kerona has two moons. This one's the bigger of two.	柯羅娜星有兩顆衛星，這顆是比較大的那顆。
small moon	小月亮
Kerona has two moons. This one's the smaller of two.	柯羅娜星有兩顆衛星，這顆是比較小的那顆。
radar post	雷達站
Kerona's relatively flat desert stretches out into the distance.	柯羅娜星平坦的沙漠一路延伸到遠方。
your pilot droid	你的駕駛機器人
Your new pilot droid appears to be a bit dinged up, but functional. You hope that he knows more about piloting a spaceship than you do.	你的新駕駛機器人看起來坑坑疤疤的，不過還能動。你只能祈禱它開太空船比你在行。
cp0"	cp0"
You're in another area of the Deltaur.	你在代爾它號的另一個區域。
It's one of the Sarien gaurds.	這是一名沙利安守衛。
sarien officer	沙利安軍官
It's the amount of time remaining before you're pushin' up daisies, Roger!!!!	羅傑，這就是你翹辮子之前，還剩下的時間喔！！！！
It's a Sarien officer.	這是一名沙利安軍官。
Like everything around here, the pipes are extremely colorful. It makes you wonder if the Sariens got a good deal on paint.	跟這裡其他東西一樣，這些管線的顏色鮮豔到誇張。讓你不禁懷疑，沙利安人是不是撿到便宜油漆才這樣亂刷一通。
Yep. More pipes.	沒錯，還是管線。
An elevator shaft runs up through the ceiling and down through the floor.	電梯井貫穿天花板往上，也貫穿地板往下。
access tubes	通道管
This is a hallway access tube leading to another part of the Deltaur.	這是一條通往代爾它號其他區域的走廊通道。
upper level	上層
You are on the upper level of one of the hallways on the Deltaur.	你正站在代爾它號某條走廊的上層。
lower level	下層
You are on the lower level of one of the hallways on the Deltaur.	你正站在代爾它號某條走廊的下層。
The lovely crisp green of the Keronian atmosphere reminds you that you'll need to do some laundry when (or if) you get back home.	柯羅娜星大氣層那清爽宜人的綠色，讓你想起等你回家（如果還回得去的話），該去洗衣服了。
Loitering about the horizon is the second and closest moon of Kerona. It is much less hospitable than the sphere you presently roam.	地平線附近徘徊的，是柯羅娜星第二顆、也是最近的一顆衛星。那裡可比你現在待的這顆星球還不宜人多了。
distant desert	遠方的沙漠
Spread before you is a seemingly endless expanse of sand.	眼前展開的，是一片看似無邊無際的沙地。
The sand of Kerona has a reddish-orange color. Were you a geologist instead of a janitor, you might find this fact interesting.	柯羅娜星的沙子帶著橘紅色。如果你是地質學家而不是清潔工，說不定會覺得這件事很有意思。
small dune	小沙丘
Nomads of the desert, dunes are spread about in nearly every direction.	沙丘就像沙漠裡的遊牧民族，幾乎每個方向都看得到。
A wide selection of skeletal accessories awaits your perusal. Vertebrae, ribs, and who knows what else rest upon the Keronian soil. The average height of this structure looks to be at least 7 meters. Good thing you didn't meet this thing in its heyday.	各式各樣的骨骸配件任你欣賞：脊椎骨、肋骨，還有一堆你也認不出來的東西，就這樣躺在柯羅娜星的土地上。這副骨架估計至少有 7 公尺高。還好你沒在牠全盛時期遇到牠。
sandy base	沙地底座
Upon a very narrow width of Keronian soil, able to resist erosion through the eons, rests the skeletal remains of this mammoth has-been.	在柯羅娜星一小塊歷經億萬年侵蝕依然屹立的土地上，躺著這個昔日巨獸的骨骸。
Oddly enough, a plant grows in isolated spots in this inhospitable environment.	說也奇怪，這麼惡劣的環境裡，居然還有植物零星生長。
Oddly enough, a rather bright plant grows in this otherwise flora-free area.	說也奇怪，這片幾乎寸草不生的地方，居然長了一株顏色鮮豔的植物。
spider droid	蜘蛛機器人
The spider is quite relentless in its pursuit of organic beings. Your quandry is that, to the best of your knowledge, you are the only one in the area fitting that description.	這隻蜘蛛機器人追殺有機生物毫不留情。你的麻煩在於，就你所知，這附近符合這個條件的，大概只有你自己。
BLAMMO! Those pulseray pistols sure are effective little weapons. Even after it kills you, your meat continues to cook to nice golden brown. Try not to get shot in the future. Even if your life isn't worth much, think about the rest of the universe.	碰！脈衝雷射手槍還真是好用的小武器。就算你死透了，你的肉還是繼續被烤成漂亮的金黃色。以後盡量別再被打中了——就算你的命不值錢，也替宇宙其他人想想吧。
Inertia	Inertia
controls	controls
Elevator	Elevator
isBlockedPoly?	isBlockedPoly?
Talker	Talker
zg@g 4	zg@g 4
Slider	Slider
Polygon	Polygon
Feature	Feature
Grooper	Grooper
Grycler	Grycler
Sound	Sound
  Save  	  存檔  
Replace	替換
Select the game that you would like to restore.	請選擇要讀取的存檔。
Type the description of this saved game.	請輸入這個存檔的說明文字。
This directory/disk can hold no more saved games. You must replace one of your saved games or use Change Directory to save on a different directory/disk.	這個目錄／磁碟已經無法再存放更多存檔了。你必須替換掉其中一個存檔，或使用「變更目錄」存到別的目錄／磁碟。
Save a Game	儲存遊戲
Cancel	取消
 Delete 	 刪除 
with:	取代為：
Cycle	Cycle
Motion	Motion
Locale	Locale
Change Directory	變更目錄
Roger is carrying:	羅傑身上帶著：
nothing!	什麼也沒有！
Score: %d out of %d	分數：%d，滿分 %d
Enter input	請輸入
Actor	Actor
Collect	Collect
Script	Script
Event	Event
