 uniform	 uniform
 Sarien	 Sarien
You are 	You are 
identification 	identification 
There is nothing there that you can't already see.	There is nothing there that you can't already see.
That does not 	That does not 
I don't understand 	I don't understand 
The can gives only one size of serving, 10 gallons. I don't think you're that thirsty.	The can gives only one size of serving, 10 gallons. I don't think you're that thirsty.
%m8"%w1"	%m8"%w1"
%m8"%w2"	%m8"%w2"
%m8"%w3"	%m8"%w3"
A mind is a terrible thing to waste.	A mind is a terrible thing to waste.
I'll get naked if you get naked. You go first.	I'll get naked if you get naked. You go first.
%m4%s1. Don't you remember?	%m4%s1. Don't you remember?
Silly human! That would not be helpful.	Silly human! That would not be helpful.
Yum! What a taste treat.	Yum! What a taste treat.
There is a red flashing alarm light here which seems to be indicating that you had better get moving.	There is a red flashing alarm light here which seems to be indicating that you had better get moving.
You can't hear anything of note.	You can't hear anything of note.
Yes, it's true. You definitely hear footsteps. You'd better make yourself scarce!	Yes, it's true. You definitely hear footsteps. You'd better make yourself scarce!
Word not known: 	Word not known: 
%m21%w1	%m21%w1
%m21%w2	%m21%w2
%m21%w3	%m21%w3
%m8you.	%m8you.
There are no footsteps to hear now.	There are no footsteps to hear now.
I hope you know how strange that sounds.	I hope you know how strange that sounds.
Nothing up there is going to help you.	Nothing up there is going to help you.
You can't do that. Read the label, %s!	You can't do that. Read the label, %s!
You do not possess the designated item.	You do not possess the designated item.
You'll have to be more specific.	You'll have to be more specific.
This knife wouldn't cut hot margarine.	This knife wouldn't cut hot margarine.
You turn the dial to the right. The light begins to glow.	You turn the dial to the right. The light begins to glow.
There is no need for you to turn the gadget off.	There is no need for you to turn the gadget off.
You just can't do that. Really. It's not a good idea. Besides, your dental hygiene hasn't been what it should. Do the universe a favor.	You just can't do that. Really. It's not a good idea. Besides, your dental hygiene hasn't been what it should. Do the universe a favor.
%m4dressed in the standard issue excursion garment.	%m4dressed in the standard issue excursion garment.
On your back is a jetpack.	On your back is a jetpack.
%m4attired in the spiffy%m2 of a%m3 marauder. There is a pocket.	%m4attired in the spiffy%m2 of a%m3 marauder. There is a pocket.
You have no helmet and are easily distinguished as an intruder by your non-green head.	You have no helmet and are easily distinguished as an intruder by your non-green head.
%m4wearing a lovely one-piece casual space travel outfit.	%m4wearing a lovely one-piece casual space travel outfit.
There is printing on it.	There is printing on it.
You plant your teeth into the strange plant and take a large bite, only to find it tastes exquisitely bad. If you had your choice you would choose any form of death over a meal of this.	You plant your teeth into the strange plant and take a large bite, only to find it tastes exquisitely bad. If you had your choice you would choose any form of death over a meal of this.
No time to talk!	No time to talk!
%m4now wearing the jetpack. A small control linkage snaps onto the back of your helmet allowing you to control it merely by focusing on where you want to go.	%m4now wearing the jetpack. A small control linkage snaps onto the back of your helmet allowing you to control it merely by focusing on where you want to go.
%m4already wearing it.	%m4already wearing it.
Due to its highly reflective coating you cannot see through the glass very easily, however, you do see a rather striking figure peering back at you.	Due to its highly reflective coating you cannot see through the glass very easily, however, you do see a rather striking figure peering back at you.
You place your lips to the nozzle and draw.  A fluid, not a very reasonable facsimile of water, is released slowly. While tasting slightly terrible, it quenches your thirst, at least for the time being.	You place your lips to the nozzle and draw.  A fluid, not a very reasonable facsimile of water, is released slowly. While tasting slightly terrible, it quenches your thirst, at least for the time being.
The can label says "Pelvitron's Dehydrated Water  (H2) - All you add is air!  Makes 10 gallons!"	The can label says "Pelvitron's Dehydrated Water  (H2) - All you add is air!  Makes 10 gallons!"
"Directions - To use, simply drink from nozzle. Metered amounts will be dispensed.     Caution - Do not attempt to open or rupture! Misuse could result in personal injury and/or flash flooding."	"Directions - To use, simply drink from nozzle. Metered amounts will be dispensed.     Caution - Do not attempt to open or rupture! Misuse could result in personal injury and/or flash flooding."
Come to your senses, %s1. That couldn't help you at this time.	Come to your senses, %s1. That couldn't help you at this time.
The regulator is just a curved, metal tube which mixes air with the can's contents and directs it to the nozzle.	The regulator is just a curved, metal tube which mixes air with the can's contents and directs it to the nozzle.
The nozzle is a flexible tube which senses suction and releases the water.	The nozzle is a flexible tube which senses suction and releases the water.
You just had a drink. You'd better ration your supply. This place is hot!	You just had a drink. You'd better ration your supply. This place is hot!
Sorry. Can't see an object right now. Try later.	Sorry. Can't see an object right now. Try later.
There is no need to do that now.	There is no need to do that now.
It wouldn't help to wear it since there is gravity here.	It wouldn't help to wear it since there is gravity here.
For more information refer to coupons enclosed in package.	For more information refer to coupons enclosed in package.
Hello, %s1. I've been expecting you. You're obviously a person of dubious taste. Drop me a line at Sierra and let me know if you've enjoyed playing.	Hello, %s1. I've been expecting you. You're obviously a person of dubious taste. Drop me a line at Sierra and let me know if you've enjoyed playing.
Sorry. This game is in a NO JUMPING zone.	Sorry. This game is in a NO JUMPING zone.
You can't run.	You can't run.
Don't be ridiculous!	Don't be ridiculous!
You raise the Orat part to your mouth and attempt to feast on it. Unfortunately for you it is composed mainly of bone. The small amount of flesh still clinging to the bone is incredibly rancid in flavor. You wisely give up on this idea.	You raise the Orat part to your mouth and attempt to feast on it. Unfortunately for you it is composed mainly of bone. The small amount of flesh still clinging to the bone is incredibly rancid in flavor. You wisely give up on this idea.
You've already had your nap!	You've already had your nap!
You talk to the sprawled corpse. Strangely, you get no response.	You talk to the sprawled corpse. Strangely, you get no response.
Good grief, %s1! %m4a bit twisted, I must say.	Good grief, %s1! %m4a bit twisted, I must say.
There is no need to do that. Just drink from the nozzle.	There is no need to do that. Just drink from the nozzle.
That doesn't seem to be the correct action in this case.	That doesn't seem to be the correct action in this case.
You stare into the semi-clear liquid and notice how it gives everything seen through it a lovely yellow tint.	You stare into the semi-clear liquid and notice how it gives everything seen through it a lovely yellow tint.
You possess %v124 buckazoid(s).	You possess %v124 buckazoid(s).
%m7seem to be in your sight now.	%m7seem to be in your sight now.
%m7appear to be here to view.	%m7appear to be here to view.
