He's a gonner!  You never realized how ugly these Sariens were until now.	死翹翹了！你這才發現，這些沙利安人原來這麼醜。
He appears to be dead.	他看起來死透了。
At the base of the Star Generator is a control panel of some sort.	星辰產生器底座有個像是控制面板的東西。
The force field around the generator stops you from reaching the control panel.	產生器周圍的力場擋著你，讓你碰不到控制面板。
If you started the force field from this close, you would be immediately vaporized. The universe would lose its most valuable janitor! Perhaps you should reconsider.	如果你在這麼近的地方啟動力場，會立刻被汽化掉。宇宙會因此失去最寶貴的清潔工！你可能該三思。
It is permanently attached to the floor.	它整個焊死在地板上，動不了。
Just the thought makes your toes hurt!	光用想的，你的腳趾就痛了起來！
You are too far away to see it from here.	你離得太遠，從這裡看不清楚。
The Star Generator's force field is off.	星辰產生器的力場已經關閉。
There is nothing special about it, except for the Star Generator it holds.	它沒什麼特別的，只不過裡面裝著星辰產生器。
Suddenly, the force field protecting the Star Generator disappears.	突然間，保護星辰產生器的力場消失了。
You have reactivated the force field.	你把力場重新啟動了。
Too late! The guard has already noticed you.	太遲了！守衛已經發現你了。
The guard is already dead. You have only yourself to harm.	守衛早就死了，你這樣做只會傷到自己而已。
You gather up a nice mouth full and let it fly. Unfortunately, you forgot you were wearing a helmet. The warm saliva oozes down the side of your face. You feel rather stupid.	你含了滿滿一口口水吐出去，可惜你忘了自己戴著頭盔。溫熱的口水順著臉頰流下來，你覺得自己蠢斃了。
You gather up a nice mouthful and let it fly. Fortunately, you missed the guard. Can't you find something more constructive to do, %s1?	你含了滿滿一口口水吐出去，幸好沒吐中守衛。%s1，你就不能做點正經事嗎？
The Star Generator has come alive. The heat that this thing is starting to generate tells you that it's time to blow this taco stand!	星辰產生器啟動了。它開始散發的熱度告訴你，該閃人了！
"Welcome to the Weapons dispensary. I will assist you. Please supply me with your identification card."	「歡迎光臨武器發放處，我來為您服務。請出示您的識別卡。」
"Your rank allows you to bear 1 Pulseray unit. Remember, no firing in the ship. Have a nice day."	「您的階級可以配發一把雷射槍，記得不要在艦內開槍，祝您有美好的一天。」
There is no need for that at this time.	現在沒有必要這麼做。
"Excuse me. I shall retrieve your weapon."	「不好意思，我這就把武器收回。」
You don't have that to %w1.	你沒有那樣東西可以%w1。
There is nothing to get.	沒有東西可以拿。
I am sorry. You may not possess that device. That would be punishable by death.	很抱歉，你不可以持有那個裝置，這是死罪。
I warned you.	我警告過你了。
Rows of weapons on the wall tell you that you are in the Deltaur's armory. There is a service droid behind the weapons issue counter.	牆上一排排的武器，告訴你這裡是代爾它號的軍械庫。武器發放櫃檯後面站著一台服務機器人。
There is now only one gas grenade on the counter.	櫃檯上現在只剩一顆瓦斯手榴彈。
It is just an ordinary counter.	只是個普通的櫃檯。
There are two gas grenades sitting on the right side of the counter.	櫃檯右側放著兩顆瓦斯手榴彈。
He is watching you very closely.  You had better play it cool.	他正緊盯著你，你最好裝得若無其事。
The Service Droid sees you eyeing the laser weapons on the wall and informs you that they are not available to G.I. personnel such as yourself.	服務機器人注意到你在打量牆上的雷射武器，告訴你像你這種大兵是拿不到的。
The Service Droid sees you eyeing the gas grenades on the counter and informs you that they are not available to G.I. personnel such as yourself.	服務機器人注意到你在打量櫃檯上的瓦斯手榴彈，告訴你像你這種大兵是拿不到的。
Very funny!	很好笑喔！
Sorry. My records indicate that a weapon has already been signed out in your name.	抱歉，我的紀錄顯示你名下已經領過一把武器了。
The droid looks you over and responds, "Sorry, only one weapon per person."	機器人打量了你一下，回答：「抱歉，每人限領一把武器。」
Silly human, you know that droids are not programmed for chit-chat!	笨人類，你也知道機器人才沒有被設定成要跟你閒聊！
The droid explains as he eliminates you that he is very sorry that you are incapable of remembering that you already own a gun, but that of course he has many customers to deal with and you really are a nuisance. Before you can reply to this, you realize that you no longer have the relevant body parts with which to reply. Your last seconds of agony are spent hearing the phrase, "Next please."	機器人一邊解決掉你，一邊解釋說很遺憾你連自己已經有槍這件事都記不住，不過他還有很多客人要應付，你實在有點煩人。你還來不及回話，就發現自己已經沒有能拿來回話的身體部位了。你痛苦的最後幾秒，聽到的是那句：「下一位。」
