This must be the chair you sit in to operate the computer.	這應該是操作電腦時坐的椅子。
There seems to be a portal through which the skimmer may exit and enter. It must lead to the surface.	這裡似乎有個沙漠飛車進出用的通道，應該是通往地面的。
computer pipes	電腦管線
From the looks of these pipes, even the computer is powered by steam!	看這些管線的樣子，就連電腦都是靠蒸汽發動的！
What appear to be skylights made from gigantic oysters filter the intense Keronian sunlight down to these lower levels.	看起來像是用巨大牡蠣殼做成的天窗，把柯羅娜星刺眼的陽光濾下來，照進這下層空間。
skimmer platform	沙漠飛車平台
The platform under the skimmer looks like it was put together from old steam generator parts.	沙漠飛車底下的平台，看起來是用舊蒸汽發電機的零件拼湊出來的。
The steam generator is a fascinating device in constant motion. It looks like it was assembled following a field trip to the junkyard, but everything appears to be in working order.	這台蒸汽發電機挺有意思，一直在運轉。看起來像是逛完垃圾場之後隨手組出來的，不過一切似乎都還能正常運作。
steam vents	蒸汽排放口
Every few seconds, steam escapes from the vents to let off excess pressure.	每隔幾秒，蒸汽就會從排放口噴出，把多餘的壓力洩掉。
big pipes	大管線
Large metal cylinders form supports for the upper level.	幾根巨大的金屬圓柱撐著上層樓板。
small pipes	小管線
These pipes are probably part of a larger network that carries steam to power various Keronian devices.	這些管線大概是整個管路網的一部分，負責把蒸汽輸送到柯羅娜星各種裝置去。
small pipes with dials	帶儀表的小管線
These gauges appear to monitor the pressure in the pipes. You think about the thousands of pounds of boiling hot steam in the system, and hope the gauges work.	這些儀表看起來是在監控管線裡的壓力。想到整套系統裡跑著幾千磅的滾燙蒸汽，你只能祈禱這些儀表沒故障。
The floor in this place is made of polished slate. It is impeccably clean. With all this steam, the Keronians undoubtedly use it to steam clean just about everything.	這裡的地板是拋光石板鋪的，乾淨得無可挑剔。有這麼多蒸汽，柯羅娜人肯定什麼東西都拿蒸汽清潔一遍。
data cartridge	資料匣
blue skimmer	藍色沙漠飛車
As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.	正如其名，這是一台沙漠飛車，看起來已經在沙地上飛馳過不少歲月了。上面有個面板，裝了一個小螢幕（目前是暗的），還有一個插著鑰匙的鑰匙孔。
The ladder appears to have been put here to make it easier to board the skimmer.	這架梯子看起來是特地放在這裡，方便你爬上沙漠飛車的。
flickering lightbulb	閃爍的燈泡
These glass tubes are really quite intriguing - you've never seen anything remotely like them. Must be some radical new technology.	這些玻璃管還真是有意思——你從沒見過類似的東西。一定是什麼很前衛的新技術。
Keronian worker	柯羅娜工人
These people of Kerona sure are an odd-looking lot. You can't pin it down, but you are sure something is different about them.	柯羅娜星上的這些人長得還真奇怪。你也說不上哪裡怪，但就是覺得他們哪裡不太一樣。
hover platform.	懸浮平台。
The Keronian is hovering a meter or so off the floor on what appears to be a Kamen Kruiser, something like the one you used to buzz the family dog with as a young child.	這個柯羅娜人懸浮在離地約一公尺高的地方，騎的似乎是一台「假面巡航機」，跟你小時候用來嚇自家狗的那種東西有點像。
The shaft must be part of the steam generator.	這根軸心應該是蒸汽發電機的一部分。
computer screen	電腦螢幕
steam vent	蒸汽排放口
Keronian leader.	柯羅娜領袖。
The old Keronian guy looks friendly enough, but his color makes you wonder if he's getting enough oxygen.	這位柯羅娜老人看起來挺和善的，不過他的臉色讓你懷疑他氧氣夠不夠。
Some steam is escaping from the generator. That explains why this place is so humid.	發電機正冒出一些蒸汽，難怪這地方這麼潮濕。
steam escaping from the pipes.	從管線裡冒出的蒸汽。
"Please, don't be alarmed. We intend no harm. We are a peaceful race. We are cautious, however. Others don't share our way of life. Welcome to Kerona."	「別緊張，我們沒有惡意。我們是愛好和平的種族，只是比較謹慎——不是每個種族都跟我們一樣。歡迎來到柯羅娜星。」
"You are standing in the power generation facility of our underground settlement. All power here is produced by steam. That is unimportant to you, however. We have promised you transportation."	「你現在站的地方，是我們地下聚落的發電設施。這裡所有的電力都靠蒸汽產生，不過這對你來說不重要。我們答應過要給你交通工具。」
"It is a Skimmer. It hovers approximately 1/2 meter above the traveling surface. This is very important because of Grell."	「那是一台沙漠飛車，會懸浮在地表上方大約半公尺處。這點很重要，因為格瑞爾的關係。」
