 Sarien	沙利安人
You can't do that from here.	你在這裡做不了那件事。
This is an elevator to one of the lower levels.	這是一部通往下層樓的電梯。
a keycard.	一張磁卡。
This is an elevator to one of the other levels of the Arcada.	這是通往阿寇達號其他樓層的電梯。
Your search of the body reveals nothing.	你搜遍屍體，什麼都沒找到。
This is a section of one of the lower levels of Arcada.	這裡是阿寇達號下層的一部分。
nothing.	什麼也沒有。
The massive bay doors are tightly sealed.	這幾扇巨大的艙門封得死死的。
Beyond the yawning doors lies the serenity of deep space.	敞開的艙門外，是一片深邃太空的寧靜。
You reach down and take the Orat part in your hand. Some of it oozes to fill the space between your fingers.	你伸手拿起那塊歐拉特的殘骸，有些黏液滲出來，填滿了你指縫間的空隙。
Orat, always in the mood for a snack, snatches the can out of the air with his spacious oral cavity, chews and swallows it. He notices a rumbling deep within his abdomen.	永遠都有心情吃點心的歐拉特，張開他那寬敞的大嘴把罐子從空中接住，嚼一嚼就吞下肚，接著他注意到肚子深處傳來一陣咕嚕聲。
Get closer.	靠近一點。
This is one end of what appears to be a large cavern. The only way to go is to the left.	這裡是一個大洞穴的一端，唯一能走的路是往左。
You are unpleasantly surprised by a drop of searing acid which bores its way to your feet.	一滴滾燙的酸液毫無預警地燒穿到你的腳，讓你嚇了一大跳。
That's right. You have no head. That darn pool must be filled with acid. You obviously can't go on living that way.	沒錯，你已經沒有頭了。這灘該死的水池裡裝的一定是酸液，你這樣顯然是活不下去了。
The beams seem to form some sort of electronic barrier across the path.	這些光束似乎在通道上組成了某種電子屏障。
"I have been monitoring your travels on our planet. It appears that you are up the proverbial estuary without a means of locomotion."	「我一直在監看你在我們星球上的行蹤。看樣子你是叫天不應叫地不靈,沒有代步工具可用啊。」
"You are obviously in need of transportation."	「你顯然需要一台代步工具。」
"Let us see if you are worthy of our assistance."	「讓我們瞧瞧,你配不配得到我們的幫忙。」
"On the surface lives a beast called Orat.  He proves to be a bit of an annoyance on occasion.  Dispose of him and bring back evidence of your conquest.  Only then will I deal with your plight.  Good luck, strange one."	「地表上住著一頭叫做歐拉特的怪獸,牠三不五時就給人添點麻煩。去把牠解決掉,再帶著你戰勝的證據回來。到時候我才會理你的死活。祝你好運了,怪傢伙。」
"Z jo jb!  lvoo sd fj?"	「Z jo jb! lvoo sd fj?」
"Jow wfiemss ekk wkkedkl ll ewlwl lqqfr fo slljnccv kwetsdlk?"	「Jow wfiemss ekk wkkedkl ll ewlwl lqqfr fo slljnccv kwetsdlk?」
"Owr rjn maj jwwj?  Pprdf rph pttqpt?"	「Owr rjn maj jwwj? Pprdf rph pttqpt?」
You hear a voice, different this time, beckoning you to step forward.	你聽到一個聲音,這次不一樣了,招手要你往前走。
With that you find yourself being transported back to the surface.	話一說完,你發現自己被傳送回了地表。
"Dr, hgi hnhht hjutn.  Kdfdrnlo ghfhr bb rhytt thrt ii mys aawr vcvvf xxc cdd."	「Dr, hgi hnhht hjutn. Kdfdrnlo ghfhr bb rhytt thrt ii mys aawr vcvvf xxc cdd.」
It's pretty darn dark in here.	這裡暗得要命。
Your words go unnoticed.	你說的話沒人理。
"So, you have found your way to my hallowed chamber. Fortunately there is much more to you than meets the eye."	「哈,你找到了通往我這神聖密室的路。算你走運,你這傢伙深藏不露。」
"Bring to me evidence of the beast Orat's demise and we'll talk."	「把歐拉特斃命的證據帶來給我,我們再來談。」
Again, the massive holographic image appears before you.	那尊巨大的全像影像,再度出現在你面前。
The cartridge snaps neatly into the slot and the screen comes alive.	資料匣喀地一聲穩穩卡進插槽,螢幕跟著亮了起來。
As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and a keyhole with a key in it.	正如其名，這是一台沙漠飛車，看起來已經在沙地上飛馳過不少歲月了。上面有個面板，裝了一個小螢幕（目前是暗的），還有一個插著鑰匙的鑰匙孔。
